;;;;;;;;;;x
ABU_conservative;Sheikhs Council;x
ABU_conservative_2;Trucial Sheiks;x
ABU_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
ABU_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;x;;;;
ABU_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
ABU_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;x;;;;
ABU_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
ABU_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
YEM_conservative;Sheikal Faction;Faction Sheikal;Scheichsfraktion;;Facción de jeques;;;;;;;;;x;;;;
YEM_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
YEM_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;x;;;;
YEM_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
YEM_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;x;;;;
YEM_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
YEM_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
AFG_conservative;Amir Faction;Faction Amir;Amir-Fraktion;;Facción Amir;;;;;;;;;x;;;;
AFG_liberal;Pashah Faction;Faction Pashah;Pascha-Fraktion;;Facción Baj?;;;;;;;;x;;;;
AFG_liberal_2;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
AFG_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;x;;;;
AFG_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
AFG_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;x;;;;
AFG_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
AFG_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
ALB_conservative;Pasha Faction;Faction Pasha;Pascha-Fraktion;;Facción baj?;;;;;;;;x;;;;
ALB_reactionary;League of Pirzen;Ligue de Pirzen;Liga von Prizren;;Liga de Pilzen;;;;;;;;;x;;;;
ALB_liberal;National Assembly;Assemblée nationale;Nationalversammlung;;Asamblea Nacional;;;;;;;;;x;;;;
ALB_conservative_2;Royal Faction;Faction royale;Königsfraktion;;Facción real;;;;;;;;;x;;;;
ALB_liberal_2;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
ALB_reactionary_2;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;x;;;;
ALB_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
ALB_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;x;;;;
ALB_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
ALB_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
ALD_conservative;Bey Faction;Faction Bey;Bey-Fraktion;;Facción bey;;;;;;;;;x;;;;
ALD_reactionary;Amir Faction;Faction Amir;Amir-Fraktion;;Facción Amir;;;;;;;;;x;;;;
ALD_liberal;Conceil Général;Conseil général;Conseil Général;;Conceil Général;;;;;;;;;x;;;;
ALD_liberal_2;Jeunesse Algérienne;Jeunesse algérienne;Jeunesse Algérienne;;Jeunesse Algérienne;;;;;;;;;x;;;;
ALD_liberal_3;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
ALD_reactionary_2;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;x;;;;
ALD_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
ALD_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;x;;;;
ALD_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
ALD_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
ANH_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;Liberaldem. Partei;;;;;;;;;x;;;;
ANH_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;Zentrumspartei;;;;;;;;;x;;;;
ANH_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;Nationalliberale ;;;;;;;;;x;;;;
ANH_liberal_3;Freisinnige Partei;Freisinnige Partei;Freisinnige Partei;;Freisinnige Partei;;;;;;;;;x;;;;
ANH_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;Deutscher Arbeiterverein;;;;;;;;;x;;;;
ANH_socialist_2;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;Sozialdem. Arbeiterpartei ;;;;;;;;;x;;;;
ANH_socialist_3;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;Sozial. Arbeiterpartei ;;;;;;;;;x;;;;
ANH_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;Nationale Partei;;;;;;;;;x;;;;
ANH_conservative_2;Konservative Partei;Konservative Partei;Konservative Partei;;Konservative Partei;;;;;;;;;x;;;;
ANH_conservative_3;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;;Christsoz. Arbeiterpartei;;;;;;;;;x;;;;
ANH_anarcho_liberal;Radical Arbeiterpartie;Arbeiterpartie radical;Radikale Arbeiterpartei;;Radical Arbeiterpartie;;;;;;;;;x;;;;
ANH_communist;Communist Arbeiterpartie;Arbeiterpartie communiste;Kommunistische Arbeiterpartei;;Communist Arbeiterpartie;;;;;;;;;x;;;;
ANH_fascist;NSDP;NSDP;NSDP;;NSDP;;;;;;;;;x;;;;
ANN_conservative;Nguyên danh tù´;Nguyên danh tù´;Nguyên danh tù´;;Nguyên danh tù´;;;;;;;;;x;;;;
ANN_liberal;Cân Vuong;Cân Vuong;Cân Vuong;;Cân Vuong;;;;;;;;;x;;;;
ANN_liberal_2;Duy Tân Hôi;Duy Tân Hôi;Duy Tân Hôi;;Duy Tân Hôi;;;;;;;;;x;;;;
ANN_anarcho_liberal;Viêt Nam Quang Phuc Hôi;Viêt Nam Quang Phuc Hôi;Viêt Nam Quang Phuc Hôi;;Viêt Nam Quang Phuc Hôi;;;;;;;;;x;;;;
ANN_liberal_3;The Liberal Party;Parti libéral;Die liberale Partei;;El Partido Liberal;;;;;;;;;x;;;;
ANN_liberal_4;The Liberal Party;Parti libéral;Die liberale Partei;;El Partido Liberal;;;;;;;;;x;;;;
ANN_reactionary;The Nationalist Party;Parti nationaliste;Die nationalistische Partei;;El Partido Nacionalista;;;;;;;;;x;;;;
ANN_anarcho_liberal_2;The Radical Party;Parti radical;Die radikale Partei;;El Partido Radical;;;;;;;;;x;;;;
ANN_socialist;The Socialist Party;Parti socialiste;Die sozialistische Partei;;El Partido Socialista;;;;;;;;;x;;;;
ANN_communist;The Communist Party;Parti communiste;Die kommunistische Partei;;El Partido Comunista;;;;;;;;;x;;;;
ANN_fascist;The Fascist Party;Parti fasciste;Die faschistische Partei;;El Partido Fascista;;;;;;;;;x;;;;
ARG_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;x;;;;
ARG_liberal_2;Partido Unitario;Partido Unitario;Partido Unitario;;Partido Unitario;;;;;;;;;x;;;;
ARG_conservative;Partido Federal;Partido Federal;Partido Federal;;Partido Federal;;;;;;;;;x;;;;
ARG_conservative_2;Partido Nacional;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;x;;;;
ARG_conservative_3;Autonomista Nacional;Autonomista Nacional;Autonomista Nacional;;Autonomista Nacional;;;;;;;;;x;;;;
ARG_conservative_4;Partido Autonomista;Partido Autonomista;Partido Autonomista;;Partido Autonomista;;;;;;;;;x;;;;
ARG_liberal_3;Unión Civica;Unión Civica;Unión Civica;;Unión Cívica;;;;;;;;;x;;;;
ARG_socialist;Partido Socialista;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;x;;;;
ARG_conservative_5;Unión Civica Nacional;Unión Civica Nacional;Unión Civica Nacional;;Unión Cívica Nacional;;;;;;;;;x;;;;
ARG_liberal_4;Unión Civica Radical;Unión Civica Radical;Unión Civica Radical;;Unión Cívica Radical;;;;;;;;;x;;;;
ARG_reactionary;Partido Reaccionario;Partido réactionnaire;Partido Reactionary;;Partido Reaccionario;;;;;;;;;x;;;;
ARG_anarcho_liberal;Partido Radical;Partido radical;Partido Radical;;Partido Radical;;;;;;;;;x;;;;
ARG_communist;Partido Comunista;Partido communiste;Partido Communist;;Partido Comunista;;;;;;;;;x;;;;
ARG_fascist;Partido Fascista;Partido fasciste;Partido Fascist;;Partido Fascista;;;;;;;;;x;;;;
ARM_conservative;Bey Faction;Faction Bey;Bey-Fraktion;;Facción bey;;;;;;;;;x;;;;
ARM_conservative_2;Armenakans;Armenakans;Armenakans;;Armenakans;;;;;;;;;x;;;;
ARM_liberal;Toughte Sherepa;Toughte Sherepa;Toughte Sherepa;;Toughte Sherepa;;;;;;;;;x;;;;
ARM_socialist;Hnchakians;Hnchakians;Hnchakians;;Hnchakians;;;;;;;;;x;;;;
ARM_socialist_2;Dashnaktsutiunk;Dashnaktsutiunk;Dashnaktsutiunk;;Dashnaktsutiunk;;;;;;;;;x;;;;
ARM_liberal_2;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
ARM_liberal_3;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
ARM_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;x;;;;
ARM_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
ARM_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
ARM_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
AST_liberal;Free Trade Party;Parti du libre échange;Free Trade Party;;Partido del Libre Comercio;;;;;;;;;x;;;;
AST_conservative;Protectionist Party;Parti protectionniste;Protectionist Party;;Partido Proteccionista;;;;;;;;;x;;;;
AST_socialist;Australian Labour Party;Parti travailliste australien;Australian Labour Party;;Partido Laborista Australiano;;;;;;;;;x;;;;
AST_liberal_2;Liberal Party;Parti libéral;Liberal Party;;Partido Liberal;;;;;;;;;x;;;;
AST_conservative_2;Country Party;Parti national;Country Party;;Partido Nacional;;;;;;;;;x;;;;
AST_communist;Communist Party Australia;Parti communiste australien;Communist Party Australia;;Partido Comunista Australiano;;;;;;;;;x;;;;
AST_reactionary;Nationalist Party;Parti nationaliste;Nationalist Party;;Partido Nacionalista;;;;;;;;;x;;;;
AST_anarcho_liberal;Radical Party;Parti radical;Radical Party;;Partido Radical;;;;;;;;;x;;;;
AST_fascist;Fascist Party;Parti fasciste;Fascist Party;;Partido Fascista;;;;;;;;;x;;;;
ATJ_conservative;Royal Faction;Faction royale;Königsfraktion;;Facción real;;;;;;;;;x;;;;
AUS_conservative;Metternich's Faction;Faction de Metternich;Metternich-Fraktion;;Facción de Metternich;;;;;;;;;x;;;;
